id,Course,Year,Company_Name,Postal_Code,City,Country,Subject,Pay_Details,Student_id
,ING1,2015/2016,VAL'EISTI,95011,CERGY CEDEX,FRANCE,Dveloppements logiciels,0,62961185
,ING2,2013/2014,CR DU CA MUTUEL PYRNES GASCOGNE,64060,PAU CDX 09,FRANCE,"Le primtre du stage convre l'tude des besoins, les solutions techniques compatibles en lien avec le contexte e-commerce et montique de la banque et la rdaction du cahier des charges en partenariat avec la liliale square Achat et son partenaire dveloppeur.",436.05,85196312
,QFRM2,2016/2017,DAIMLER,0,68299 - MANNHEIM,ALLEMAGNE,"CDD. Maintain the system like IMS, RFDC, IES, CMS. Develop tool by VBA.",386,49720669
,ING3,2013/2014,MUREX,75782,PARIS CEDEX 16,FRANCE,"Au sein de cette quipe et sous la responsabilit du Reponsable Release Management, vous contribuerez au projet de Business Intelligence ""RM Dashboard"". Ce projet a pour objectif de fournir les indicateurs permettant le pilotage de la construction de ces produits, diffuss  tous les interlocuteurs concerns (quipes Produit, quipes de Dveloppement, centre QA). Vous serez ainsi amen : - Recueillir et analyser le besoin des diffrentes quipes  l'international - Rdiger les spcifications fonctionnelles - Dvelopper les tableaux de bord sur la solution de Business Intelligence - Fournir des rapports d'avancement aux quipes",2085,80502585
,ING2,2013/2014,SCOR,75795,PARIS CEDEX 16,FRANCE,Contribution au rfrentiel d'entreprise (Power Designer): - Participation aux grands projets de transformations informatiques de l'entreprise dans le cadre des revues d'architecture - Modlisation de reprsentations du systme d'information  - Projets mtiers  - Conformit rglementaire  - Approche de data management  - Fonctions  - Applications  - Flux  - Donnes - Participation  l'amlioration des usages et mthodes de modlisation  - Convention de reprsentations  - Livrables  - Documentation,1000,94971508
,ING2,2013/2014,LA FRANAISE DES PLACEMENTS,75800,PARIS,FRANCE,"Rdaction d'un cahier des charges dans le but de crer une base de donnes pour les OPCVM Automatisation des tches  raliser sous Excel pour traiter les donnes issues de la base de donnes. Aide  la mise en formation des rapports de risques. Analyse des stratgies, et de calcul de risque.",800,42088566
,ING3,2013/2014,LA FRANAISE DES PLACEMENTS,75800,PARIS,FRANCE,"Stage ingnierie financire Participation au dveloppement du ple quantitatif au sein de la direction Ingnierie Risque et Reporting. Participation au dveloppement d'outils d'analyse statistique bass sur les logiciels externes disponibles ou amlioration d'outils dvelopps en interne. Interaction avec les diffrents ples de gestions pour rpondre aux besoins des grants en terme d'outils de suivi de portefeuilles, simulation et trade.",1000,44124692
,ING1,2013/2014,SOCIETE GENERALE,75886,PARIS CEDEX 18,FRANCE,"Approche des Crdits ""Court Terme"" A ce titre, l'tudiant se verra confier les activits de: - Montage des contrats - Prise des Garanties - Bilans consolids - Montage lignes de crdit (si dossier  traiter pendant le stage)",600,87459261
,ING2,2013/2014,SOCIETE GENERALE,75886,PARIS CEDEX 18,FRANCE,Assistance au Responsable Conformit: participation au projet de cration d'un portail SharePoint ddi  CFT.,800,33361449
,ING2,2013/2014,SOCIETE GENERALE,75886,PARIS CEDEX 18,FRANCE,Stage support trading et suivi des oprations de marchs - produits exotiques sur fonds,800,83736340
,ING2,2013/2014,SOCIETE GENERALE,75886,PARIS CEDEX 18,FRANCE,Assister les chargs d'affaires entreprises dans l'analyse des dossiers de crdit et de la rentabilit de la relation,1300,39304999
,ING2,2013/2014,SOCIETE GENERALE,75886,PARIS CEDEX 18,FRANCE,Stage dveloppement portours WEB,800,31329224
,ING3,2013/2014,SOCIETE GENERALE,75886,PARIS CEDEX 18,FRANCE,Conception tactique de mesures de risque de march: Recueillir et prciser les besoins fonctionnels de dveloppement des quipes de la Direction des Risques sur opration de march,1250,17392183
,ING3,2013/2014,SOCIETE GENERALE,75886,PARIS CEDEX 18,FRANCE,Assistance au sein du service commando trading. Amlioration des outils de monitoring de liquidit.,1437.5,49737162
,ING3,2013/2014,SOCIETE GENERALE,75886,PARIS CEDEX 18,FRANCE,Convention dauphine: Stage maitrise d'ouvrage risques de march,1900,37567651
,ING3,2013/2014,SOCIETE GENERALE,75886,PARIS CEDEX 18,FRANCE,Analyse de portefeuille et outils analytiques risques,1900,90251513
,ING3,2013/2014,SOCIETE GENERALE,75886,PARIS CEDEX 18,FRANCE,Assistance dveloppement d'outils d'analyse de donnes de marcher,1437.5,97051814
