id,Student_id,Stream,Course_year,Campus
,95875931,ING2,2008/2009,CERGY
,95875931,ING1,2008/2009,CERGY
,77568187,ING2,2008/2009,CERGY
,77568187,ING1,2008/2009,CERGY
,95875931,ORI-MSI,2009/2009,CERGY
,77568187,ORI-IFI,2009/2009,CERGY
,95875931,GL,2009/2010,CERGY
,77568187,IFI,2010/2011,CERGY
,53522611,ICOM,2010/2011,CERGY
,85697523,ING3,2010/2011,CERGY
,46630845,ING3,2011/2012,CERGY
,46630845,ICOM,2011/2012,CERGY
,17974480,ING3,2011/2012,CERGY
,17974480,ICOM,2011/2012,CERGY
,88894867,ING3,2011/2012,CERGY
,88894867,IFI,2011/2012,CERGY
,61384761,ING3,2011/2012,CERGY
,61384761,ING3,2011/2012,CERGY
,20998218,ING3,2011/2012,CERGY
,20998218,VISUAL,2011/2012,CERGY
,81965850,ING3,2011/2012,CERGY
,81965850,VISUAL,2011/2012,CERGY
,71533971,ING3,2011/2012,CERGY
,71533971,IFI,2011/2012,CERGY
,94199265,ING3,2011/2012,CERGY
,94199265,IFI,2011/2012,CERGY
,97021940,ING3,2011/2012,CERGY
,97021940,VISUAL,2011/2012,CERGY
,90407928,ING3,2011/2012,CERGY
,90407928,ICOM,2011/2012,CERGY
,28568207,ING3,2011/2012,CERGY
,28568207,ICOM,2011/2012,CERGY
,67466841,ING3,2011/2012,CERGY
,67466841,IFI,2011/2012,CERGY
,98139736,ING3,2011/2012,PAU
,98139736,ING2,2011/2012,PAU
,98139736,IERP,2011/2012,PAU
,90898443,ING3,2011/2012,CERGY
,90898443,ING3,2011/2012,CERGY
,28408997,CPI1,2011/2012,CERGY
,77983927,INDE,2012/2013,CERGY
,77983927,ING3,2012/2013,CERGY
,5106200,CPI1,2012/2013,CERGY
,23964316,MAIN,2012/2013,CERGY
,23964316,ING1,2012/2013,CERGY
,74320387,MAIN,2012/2013,CERGY
,74320387,ING1,2012/2013,CERGY
,59822690,MAAP,2012/2013,CERGY
,59822690,ING1,2012/2013,CERGY
,68931016,MAAP,2012/2013,CERGY
,68931016,ING1,2012/2013,CERGY
,16412332,MAIN,2012/2013,CERGY
,16412332,ING1,2012/2013,CERGY
,37300960,MAAP,2012/2013,CERGY
,37300960,ING1,2012/2013,CERGY
,41692390,MAAP,2012/2013,CERGY
,41692390,ING1,2012/2013,CERGY
,76015864,MAIN,2012/2013,CERGY
,76015864,ING1,2012/2013,CERGY
,25455090,MAIN,2012/2013,CERGY
,25455090,ING1,2012/2013,CERGY
,19872513,MAAP,2012/2013,CERGY
,19872513,ING1,2012/2013,CERGY
,7751296,MAIN,2012/2013,CERGY
,7751296,ING1,2012/2013,CERGY
,1822894,MAIN,2012/2013,CERGY
,1822894,ING1,2012/2013,CERGY
,36368685,MAAP,2012/2013,CERGY
,36368685,ING1,2012/2013,CERGY
,20790866,MAIN,2012/2013,CERGY
,20790866,ING1,2012/2013,CERGY
,69573216,MAAP,2012/2013,CERGY
,69573216,ING1,2012/2013,CERGY
,23862847,MAAP,2012/2013,CERGY
,23862847,ING1,2012/2013,CERGY
,788198,MAAP,2012/2013,CERGY
,788198,ING1,2012/2013,CERGY
,1633500,MAIN,2012/2013,CERGY
,1633500,ING1,2012/2013,CERGY
,24055522,MAIN,2012/2013,CERGY
,24055522,ING1,2012/2013,CERGY
,10693634,MAIN,2012/2013,CERGY
,10693634,ING1,2012/2013,CERGY
,94971508,MAIN,2012/2013,CERGY
,94971508,ING1,2012/2013,CERGY
,7117486,MAIN,2012/2013,CERGY
,7117486,ING1,2012/2013,CERGY
,22074337,MAIN,2012/2013,CERGY
,22074337,ING1,2012/2013,CERGY
,71483114,MAIN,2012/2013,CERGY
,71483114,ING1,2012/2013,CERGY
,55573814,MAAP,2012/2013,CERGY
,55573814,ING1,2012/2013,CERGY
,33361449,MAIN,2012/2013,CERGY
,33361449,ING1,2012/2013,CERGY
,41399386,MAIN,2012/2013,CERGY
,41399386,ING1,2012/2013,CERGY
,35686985,MAIN,2012/2013,CERGY
,35686985,ING1,2012/2013,CERGY
,1766326,MAIN,2012/2013,PAU
,1766326,ING1,2012/2013,PAU
,39304999,MAAP,2012/2013,CERGY
,39304999,ING1,2012/2013,CERGY
,14057569,MAAP,2012/2013,CERGY
,14057569,ING1,2012/2013,CERGY
,19410724,MAAP,2012/2013,CERGY
,19410724,ING1,2012/2013,CERGY
,8950676,MAAP,2012/2013,CERGY
,8950676,ING1,2012/2013,CERGY
,79519128,MAIN,2012/2013,CERGY
,79519128,ING1,2012/2013,CERGY
,86001209,MAIN,2012/2013,CERGY
,86001209,ING1,2012/2013,CERGY
,43856860,MAIN,2012/2013,CERGY
,43856860,ING1,2012/2013,CERGY
,37673908,MAIN,2012/2013,PAU
,37673908,ING1,2012/2013,PAU
,21680249,MAIN,2012/2013,CERGY
,21680249,ING1,2012/2013,CERGY
,51456197,MAAP,2012/2013,CERGY
,51456197,ING1,2012/2013,CERGY
,21026825,MAIN,2012/2013,CERGY
,21026825,ING1,2012/2013,CERGY
,14828829,MAAP,2012/2013,CERGY
,14828829,ING1,2012/2013,CERGY
,91949972,MAIN,2012/2013,CERGY
,91949972,ING1,2012/2013,CERGY
,3973491,MAIN,2012/2013,CERGY
,3973491,ING1,2012/2013,CERGY
,76305388,MAIN,2012/2013,CERGY
,76305388,ING1,2012/2013,CERGY
,15521974,MAIN,2012/2013,CERGY
,15521974,ING1,2012/2013,CERGY
,78786159,MAIN,2012/2013,CERGY
,78786159,ING1,2012/2013,CERGY
,35305134,MAIN,2012/2013,CERGY
,35305134,ING1,2012/2013,CERGY
,86095674,MAIN,2012/2013,CERGY
,86095674,ING1,2012/2013,CERGY
,66655451,MAAP,2012/2013,CERGY
,66655451,ING1,2012/2013,CERGY
,28490081,MAIN,2012/2013,CERGY
,28490081,ING1,2012/2013,CERGY
,69821125,MAIN,2012/2013,CERGY
,69821125,ING1,2012/2013,CERGY
,60150765,MAAP,2012/2013,CERGY
,60150765,ING1,2012/2013,CERGY
,93013750,MAIN,2012/2013,CERGY
,93013750,ING1,2012/2013,CERGY
,54443888,MAAP,2012/2013,CERGY
,54443888,ING1,2012/2013,CERGY
,41880595,MAAP,2012/2013,CERGY
,41880595,ING1,2012/2013,CERGY
,10043494,MAIN,2012/2013,CERGY
,10043494,ING1,2012/2013,CERGY
,79594802,MAIN,2012/2013,CERGY
,79594802,ING1,2012/2013,CERGY
,39399740,MAIN,2012/2013,CERGY
,39399740,ING1,2012/2013,CERGY
,63717991,ING2,2012/2013,CERGY
,63717991,ING2,2012/2013,CERGY
,26681367,ING2,2012/2013,CERGY
,26681367,ING2,2012/2013,CERGY
,9550977,ING2,2012/2013,CERGY
,9550977,ING2,2012/2013,CERGY
,13156175,ING2,2012/2013,CERGY
,13156175,ING2,2012/2013,CERGY
,65277838,ING2,2012/2013,CERGY
,65277838,ING2,2012/2013,CERGY
,86532284,ING2,2012/2013,CERGY
,86532284,ING2,2012/2013,CERGY
,54973326,CPI1,2012/2013,PAU
,70077069,CPI1,2012/2013,PAU
,50169667,CPI1,2012/2013,PAU
,96193164,CPI1,2012/2013,PAU
,31492113,CPI1,2012/2013,PAU
,60803217,MAIN,2012/2013,PAU
,60803217,ING1,2012/2013,PAU
,67550552,MAIN,2012/2013,CERGY
,67550552,ING1,2012/2013,CERGY
,96549092,MAIN,2012/2013,PAU
,96549092,ING1,2012/2013,PAU
,80541372,MAIN,2012/2013,CERGY
,80541372,ING1,2012/2013,CERGY
,84239897,MAIN,2012/2013,PAU
,84239897,ING1,2012/2013,PAU
,16596674,MAIN,2012/2013,CERGY
,16596674,ING1,2012/2013,CERGY
,9030334,MAIN,2012/2013,PAU
,9030334,ING1,2012/2013,PAU
,50565498,MAIN,2012/2013,CERGY
,50565498,ING1,2012/2013,CERGY
,13270704,MAIN,2012/2013,PAU
,13270704,ING1,2012/2013,PAU
,56926498,ING1,2012/2013,PAU
,36567532,MAIN,2012/2013,PAU
,36567532,ING1,2012/2013,PAU
,98032161,MAIN,2012/2013,PAU
,98032161,ING1,2012/2013,PAU
,75169797,MAIN,2012/2013,CERGY
,75169797,ING1,2012/2013,CERGY
,14393066,MAIN,2012/2013,PAU
,14393066,ING1,2012/2013,PAU
,25022052,CPI1,2012/2013,CERGY
,68160038,CPI1,2012/2013,CERGY
,23938460,MAIN,2012/2013,CERGY
,23938460,ING1,2012/2013,CERGY
,69710935,IERP,2012/2013,CERGY
,69710935,ING2,2012/2013,CERGY
,69710935,ING3,2012/2013,CERGY
,93834540,ING3,2012/2013,CERGY
,93834540,ING2,2012/2013,CERGY
,93834540,ING3,2012/2013,CERGY
,94112099,ICOM,2012/2013,CERGY
,94112099,ING2,2012/2013,CERGY
,94112099,ING3,2012/2013,CERGY
,86960843,ING3,2012/2013,CERGY
,86960843,ING2,2012/2013,CERGY
,86960843,ING3,2012/2013,CERGY
,88894867,ICOM,2012/2013,CERGY
,88894867,ING3,2012/2013,CERGY
,61384761,ING3,2012/2013,CERGY
,11478211,ING2,2012/2013,CERGY
,11478211,ING2,2012/2013,CERGY
,8115431,ERPM,2012/2013,PAU
,36765487,ERPM,2012/2013,PAU
,56258157,ERPM,2012/2013,PAU
,2430222,ERPM,2012/2013,PAU
,59541979,ERPM,2012/2013,PAU
,52459045,ERPM,2012/2013,PAU
,46473775,ERPM,2012/2013,PAU
,63208331,ICOM,2012/2013,CERGY
,63208331,ING2,2012/2013,CERGY
,63208331,ING3,2012/2013,CERGY
,81965850,ING3,2012/2013,CERGY
,41612272,ICOM,2012/2013,CERGY
,41612272,ING2,2012/2013,CERGY
,41612272,ING3,2012/2013,CERGY
,86617288,ING3,2012/2013,CERGY
,86617288,ING2,2012/2013,CERGY
,86617288,ING3,2012/2013,CERGY
,71533971,IFI,2012/2013,CERGY
,71533971,ING3,2012/2013,CERGY
,94199265,IFI,2012/2013,CERGY
,94199265,ING3,2012/2013,CERGY
,54561829,ICOM,2012/2013,CERGY
,54561829,ING2,2012/2013,CERGY
,54561829,ING3,2012/2013,CERGY
,12989843,ICOM,2012/2013,CERGY
,12989843,ING2,2012/2013,CERGY
,12989843,ING3,2012/2013,CERGY
,47352069,ING3,2012/2013,CERGY
