id,Postal_Code,City,Country
42507633,64000,PAU,FR
54344402,64000,PAU,FR
16939319,44000,NANTES,FR
23044498,44470,TOUARE SUR LOIRE,FR
42532364,0,OTHER,FR
32627903,64000,PAU,FR
30560587,0,OTHER,FR
37445373,0,OTHER,FR
87750073,31780,CASTELGINEST,FR
36564577,92380,Garches,FR
38461934,38180,SEYSSINS,FR
55466210,95000,CERGY,FR
95916603,95800,CERGY LE HAUT,FR
31532262,95000,CERGY,FR
17051795,0,OTHER,FR
4195180,87000,LIMOGES,FR
76015864,95000,CERGY,FR
79830103,95150,TAVERNY,FR
80333696,31400,TOULOUSE,FR
14393066,64140,LONS,FR
97082410,0,OTHER,FR
52209274,91400,ORSAY,FR
26697955,78460,CHOISEL,FR
78417027,91250,ST GERMAIN LES CORBEIL,FR
22124254,64000,PAU,FR
8853328,0,OTHER,FR
38183552,36120,ARDENTES,FR
59661571,1100,OYONNAX,FR
33034454,95110,SANNOIS,FR
65599863,40510,SEIGNOSSE,FR
83844223,95140,GARGES LES GONESSE,FR
67723111,60100,Creil,FR
17273735,95500,GONESSE,FR
6268290,64000,PAU,FR
80733109,95340,PERSAN,FR
60242461,75015,PARIS,FR
61373340,38000,GRENOBLE,FR
93086872,0,OTHER,FR
22795658,93120,LA COURNEUVE,FR
5467422,64000,PAU,FR
2919623,0,OTHER,FR
45624987,44000,NANTES,FR
14355521,92400,COURBEVOIE,FR
39975570,33000,BORDEAUX,FR
45115031,93120,LA COURNEUVE,FR
73641084,95800,Cergy St Christophe,FR
2831798,92120,MONTROUGE,FR
72376603,93340,LE RAINCY,FR
52187655,78600,MAISON LAFITTE,FR
66056626,64000,PAU,FR
5246371,78700,CONFLANS STE HONORINE,FR
65501676,0,OTHER,FR
44619997,18700,AUBIGNY SUR NERE,FR
38064101,0,OTHER,FR
70568402,0,OTHER,FR
64631886,95000,CERGY,FR
63197728,95220,Herblay,FR
55122870,92400,COURBEVOIE,FR
82706067,0,OTHER,FR
75566817,91120,PALAISEAU,FR
98227765,44800,SAINT HERBLAIN,FR
14404810,76130,MONT SAINT AIGNAN,FR
5168483,95800,CERGY,FR
5023808,95800,CERGY LE HAUT,FR
42832865,95800,CERGY LE HAUT,FR
19195044,93700,DRANCY,FR
15708671,92400,COURBEVOIE,FR
57289943,0,OTHER,FR
24619134,94700,MAISON ALFORT,FR
39847452,78230,LE PECQ,FR
9662601,0,Casabanca,MA
78935486,95000,CERGY,FR
25455090,95000,CERGY,FR
94689217,94200,IVRY SUR SEINE,FR
54368635,95300,PONTOISE,FR
42197441,64000,PAU,FR
25850358,0,Oran,DZ
29529751,0,OTHER,FR
50793629,27180,LES BAUX STE CROIX,FR
74311907,77400,ST THIBAULT DES VIGNES,FR
74909953,13008,MARSEILLE,FR
43429922,0,Fes,MA
25163247,6000,NICE,FR
77654450,57970,YUTZ,FR
3663965,0,Choix,FR
54412625,0,MEKNS,MA
32354997,95800,CERGY,FR
80471462,95200,SARCELLES,FR
61391158,95000,CERGY,FR
63439177,95000,CERGY,FR
35809278,95270,VIARMES,FR
59601105,78000,VERSAILLES,FR
7491683,95000,CERGY,FR
27964140,0,OTHER,FR
10491229,93230,ROMAINVILLE,FR
45752487,0,75015,FR
64820029,75012,PARIS,FR
30064192,95180,MENUCOURT,FR
97265512,0,CHOIX,FR
69734164,0,OTHER,FR
13488535,78450,VILLEPREUX,FR
12494398,0,SAFI,MA
51312089,65350,LANSAC,FR
77642744,0,OTHER,FR
60745843,78300,POISSY,FR
59615005,92400,COURBEVOIE,FR
7699117,95540,MERY SUR OISE,FR
70470355,0,OTHER,FR
67593852,95000,CERGY,FR
21362031,40100,DAX,FR
38943793,95014,CERGY,FR
38107682,0,OTHER,FR
98552791,78370,PLAISIR,FR
7869314,95160,MONTMORENCY,FR
53221268,20226,SPELONCATO,FR
1891730,93220,GAGNY,FR
68817434,95000,CERGY,FR
37523479,0,TARRAGONE,ES
85495269,95180,MENUCOURT,FR
4224024,75011,Paris,FR
82634219,0,OTHER,FR
51517948,0,OTHER,FR
16891049,0,OTHER,FR
67811591,64121,MONTARDON,FR
20153829,59960,NEUVILLE EN FERRAIN,FR
24687973,61200,ARGENTAN,FR
90275118,60110,AMBLAINVILLE,FR
24753408,95160,Montmorency,FR
51634147,0,OTHER,FR
11931605,0,OTHER,FR
39338892,0,OTHER,FR
42024148,95000,CERGY,FR
2105718,75014,PARIS,FR
51954651,95000,CERGY,FR
35655796,60110,Mru,FR
3044927,59234,MONCHECOURT,FR
32862362,0,OTHER,FR
48124805,0,OTHER,FR
71257815,0,OTHER,FR
75774655,31200,TOULOUSE,FR
71298789,0,OTHER,FR
18579144,75011,PARIS 11EME ARRONDISSEME,FR
59943949,92600,ASNIERES SUR SEINE,FR
71308490,0,OTHER,FR
89030545,65200,BAGNERES DE BIGORRE,FR
61492834,40360,Donzaq,FR
76309116,95000,CERGY,FR
65487618,75015,PARIS,FR
95986497,95000,CERGY,FR
49976510,66160,LE BOULOU,FR
47454249,95390,ST PRIX,FR
81582139,95490,VAURAL,FR
14156561,0,OTHER,FR
1844980,0,OTHER,FR
81300125,95470,SAINT WITZ,FR
32648226,60560,ORRY LA VILLE,FR
76000061,78700,CONFLANS SAINTE HONORINE,FR
67917862,64110,GELOS,FR
85499250,93400,SAINT OUEN,FR
11249152,45600,ST FLORENT,FR
19630720,78955,CARRIERES SOUS POISSY,FR
9809247,0,OTHER,FR
9618000,0,OTHER,FR
23467748,64000,PAU,FR
90898443,92600,ASNIERES SUR SEINE,FR
73763477,75019,PARIS,FR
1597718,78600,MAISONS LAFFITTE,FR
40731675,0,OTHER,FR
1346073,92130,ISSY LES MOULINEAUX,FR
73149544,17410,ST MARTIN DE RE,FR
44592090,33110,LE BOUSCAT,FR
8822268,0,OTHER,FR
4074413,0,OTHER,FR
64167972,0,Prague 4,CZ
53942709,95801,CERGY,FR
40548493,95300,PONTOISE,FR
78383882,95310,ST OUEN L'AUMONE,FR
8419932,31280,MONS,FR
33299209,89600,VERGIGNY,FR
16140326,95370,MONTIGNY LES CORMEILLES,FR
74664482,0,OTHER,FR
37729367,78590,Noisy Le Roi,FR
6335547,78110,Le Vsinet,FR
65790707,95650,GENICOURT,FR
13776584,95680,MONTLIGNON,FR
20639018,0,OTHER,FR
74672373,75011,PARIS,FR
78105778,95800,Cergy Le Haut,FR
19872513,75016,PARIS,FR
21155046,75018,PARIS,FR
14294078,78150,LE CHESNAY,FR
52493082,64000,PAU,FR
57934051,0,OTHER,FR
80875814,0,OTHER,FR
99242403,0,OTHER,FR
62197232,95800,CERGY,FR
92342619,78530,BUC,FR
61541666,0,OTHER,FR
12040165,0,OTHER,FR
90376617,64110,MAZRES LEZONS,FR
34642378,59263,HOUPLIN ANCOISNE,FR
20901205,0,OTHER,FR
74309885,95000,CERGY,FR
60909,95000,CERGY PONTOISE,FR
14144481,95000,CERGY,FR
1396958,64000,PAU,FR
22130632,75006,PARIS,FR
92540441,0,OTHER,FR
10264911,94200,IVRY SUR SEINE,FR
14599334,93420,VILLEPINTE,FR
48788550,95000,CERGY,FR
50664543,0,OTHER,FR
5647229,92220,BAGNEUX,FR
91834797,95000,Cergy,FR
77039857,31100,TOULOUSE,FR
33407303,79160,COULONGES SUR L'AUTIZE,FR
30448264,0,OTHER,FR
84290372,64420,SOUMOULOU,FR
1573527,75012,PARIS,FR
10770957,95000,Cergy,FR
94918522,78460,CHEVREUSE,FR
15891795,95420,MAGNY EN VEXIN,FR
93224756,93360,NEUILLY PLAISANCE,FR
59280123,75019,PARIS,FR
54025358,95011,CERGY,FR
43834492,0,OTHER,FR
71019500,78500,SARTROUVILLE,FR
96417031,0,OTHER,FR
25709638,0,OTHER,FR
65982873,78420,CARRIRES SUR SEINE,FR
30925110,0,OTHER,FR
13026259,0,OTHER,FR
29321136,0,OTHER,FR
7609094,0,OTHER,FR
16201234,0,OTHER,FR
88808962,38000,GRENOBLE,FR
39126324,94350,VILLIERS SUR MARNE,FR
28466179,92330,SCEAUX,FR
58331148,0,OTHER,FR
24041494,95340,RONQUEROLLES,FR
35238351,95000,CERGY,FR
23460924,95000,NEUVILLE SUR OISE,FR
28770321,0,OTHER,FR
25519742,0,OTHER,FR
12989843,95160,MONTMORENCY,FR
91333934,95430,AUVERS SUR OISE,FR
85900384,95800,CERGY ST CHRISTOPHE,FR
88382314,0,OTHER,FR
65166186,0,OTHER,FR
815930,45110,CHATEAUNEUF SUR LOIRE,FR
72968188,95000,Cergy,FR
87261141,27400,HONDOUVILLE,FR
77433460,75002,PARIS,FR
5264921,75015,PARIS,FR
49656739,33700,MERIGNAC,FR
88667735,69003,LYON,FR
64735697,0,OTHER,FR
45329385,0,OTHER,FR
96477939,95300,PONTOISE,FR
39854118,0,OTHER,FR
67379830,14000,CAEN,FR
53055741,95014,CERGY,FR
5566701,0,Bruxelles,BE
39586046,0,OTHER,FR
22208427,95800,CERGY,FR
64989783,95000,CERGY,FR
39473505,64110,JURANCON,FR
44773552,0,OTHER,FR
20300975,78000,VERSAILLES,FR
35371005,0,OTHER,FR
57448796,95000,Cergy,FR
65686613,30340,Mons,FR
7751296,78280,GUYANCOURT,FR
30343847,64400,LEDEUIX,FR
36290698,0,OTHER,FR
7908365,0,OTHER,FR
7225729,92110,CLICHY,FR
79125139,0,OTHER,FR
47662436,91360,VILLEMOISSON SUR ORGE,FR
19191545,0,OTHER,FR
44650421,0,OTHER,FR
43987688,0,OTHER,FR
83678172,95801,CERGY,FR
3143098,95430,AUVERS SUR OISE,FR
71247793,64000,PAU,FR
80581848,64000,PAU,FR
1693994,51390,JOUY LES REIMS,FR
94056831,95550,BESSANCOURT,FR
52938478,0,OTHER,FR
12679173,0,OTHER,FR
28663080,33000,BORDEAUX,FR
6506153,95800,CERGY,FR
81521919,0,OTHER,FR
63897848,95620,PARMAIN,FR
63627538,0,OTHER,FR
57446777,78500,SARTROUVILLE,FR
88450706,78950,GAMBAIS,FR
68243825,64121,MONTARDON,FR
70293293,0,OTHER,FR
33290817,0,OTHER,FR
26704940,95000,CERGY,FR
43349179,0,OTHER,FR
54068927,0,OTHER,FR
72917481,95800,CERGY LE HAUT,FR
31159775,95880,ENGHIENS LES BAINS,FR
9258886,0,OTHER,SE
95169505,60300,AVILLY SAINT LEONARD,FR
84659188,92500,RUEIL MALMAISON,FR
84390059,64420,ARTIGUELOUTAN,FR
97319175,0,OTHER,FR
7859280,0,OTHER,FR
9386117,33440,AMBARES,FR
89317072,0,OTHER,FR
80156111,38000,GRENOBLE,FR
42997214,0,OTHER,FR
38627623,95230,SOISY SOUS MONTMORENCY,FR
33637589,95014,CERGY PONTOISE,FR
7260694,78500,SARTROUVILLE,FR
33642877,64000,PAU,FR
75146905,0,OTHER,FR
77668955,93220,GAGNY,FR
68136584,95220,HERBLAY,FR
51279704,18000,BOURGES,FR
1822894,78700,CONFLANS STE HONORINE,FR
99268852,92150,SURESNES,FR
21076334,95000,CERGY,FR
23133390,78170,LA CELLE ST CLOUD,FR
96202001,91230,MONTGERON,FR
98587671,78630,orgeval,FR
6583990,94000,CRETEIL,FR
41199180,78780,MAURECOURT,FR
33930668,0,OTHER,FR
22474319,75019,PARIS,FR
1731363,92300,LEVALLOIS PERRET,FR
92109025,78260,ACHERES,FR
75810195,94120,FONTENAY SOUS BOIS,FR
53246572,64000,PAU,FR
78847677,0,DEN HAAG,NL
87802285,95220,HERBLAY,FR
55637852,78260,ACHERES,FR
77901023,95800,CERGY SAINT CHRISTOPHE,FR
9553273,92120,MONTROUGE,FR
3442949,64000,PAU,FR
42255550,0,OTHER,FR
92835283,78570,CHANTELOUP LES VIGNES,FR
71660293,0,OTHER,FR
45133775,92250,LA GARENNE COLOMBES,FR
15159508,78600,Maisons Laffitte,FR
71158541,93250,VILLEMOMBLE,FR
97270414,95000,Cergy,FR
32593681,95270,ST MARTIN DU TERTRE,FR
66119661,95110,SANNOIS,FR
36380409,95490,VAUREAL,FR
21572997,0,OTHER,FR
35113709,28200,Marbou,FR
25973792,11000,CARCASSONNE,FR
64425512,95800,CERGY LE HAUT,FR
77202315,0,OTHER,FR
69119482,75018,PARIS,FR
29747446,0,ARUE,PF
15842875,75013,PARIS,FR
36368685,95370,MONTIGNY LES CORMEILLES,FR
18589857,78500,SARTROUVILLE,FR
6864378,95000,Cergy,FR
99050537,59380,ARMBOUTS CAPPEL,FR
99968304,95490,VAUREAL,FR
85196312,64140,Billre,FR
42563644,64140,Billre,FR
59003787,64170,SERRES ST MARIE,FR
30799499,95370,MONTIGNY LES CORMEILLES,FR
94265474,95000,Cergy,FR
11538612,78700,CONFLANS STE HONORINE,FR
16813966,94100,ST MAUR DES FOSSES,FR
37085825,64000,Pau,FR
17402454,95000,CERGY,FR
70504238,64000,Pau,FR
39796877,95390,SAINT PRIX,FR
96413479,95380,LOUVRES,FR
16982400,92700,COLOMBES,FR
70427393,0,OTHER,FR
18346748,95000,CERGY,FR
55727070,64110,Mazeres Lezons,FR
62321661,95000,NEUVILLE SUR OISE,FR
34968079,95380,LOUVRES,FR
28156986,64110,GELOS,FR
76312889,75014,PARIS 14EME ARRONDISSEMENT,FR
59904459,0,OTHER,FR
86899830,0,ARIANA,TN
78933677,93100,Montreuil,FR
61228507,78600,MAISONS LAFFITTE,FR
5557641,6670,LEVENS,FR
69089446,95000,CERGY,FR
15216361,75009,Paris,FR
6392142,92600,ASNIERES SUR SEINE,FR
62502229,75014,PARIS,FR
76951559,78570,ANDRESY,FR
9521577,91700,STE GENEVIEVE DES BOIS,FR
88639260,81100,CASTRES,FR
84819193,78150,Le chesnay,FR
51839070,64000,PAU,FR
2459792,0,OTHER,FR
39399249,78700,CONFLANS STE HONORINE,FR
26698119,93100,MONTREUIL,FR
87972506,60175,VILLENEUVE LES SABLONS,FR
34356239,0,OTHER,FR
49996135,0,OTHER,FR
36623898,6810,AURIBEAU SUR SIAGNE,FR
76177284,78114,MAGNY LES HAMEAUX,FR
17986476,64000,PAU,FR
52096109,95280,JOUY LE MOUTIER,FR
96401183,75013,PARIS 13EME ARRONDISSEMENT,FR
82772259,0,OTHER,FR
32929386,0,OTHER,FR
31441143,0,OTHER,FR
64715525,92600,Asnire,FR
43999860,0,appartement 313,FR
12681573,64000,PAU,FR
78494314,95220,HERBLAY,FR
93764206,24750,Boulazac,FR
77984214,75002,PARIS,FR
61196811,64320,IDRON,FR
90753952,75011,PARIS,FR
11653090,0,OTHER,FR
74220148,63160,CHAS,FR
37191640,94210,LA VARENNE,FR
56767703,0,95800,FR
88490170,75018,PARIS,FR
26335543,95000,CERGY,FR
25725085,95000,Cergy,FR
2221648,95150,TAVERNY,FR
22343308,95420,MAGNY EN VEXIN,FR
42256668,78100,SAINT GERMAIN EN LAYE,FR
35812728,0,OTHER,FR
43680518,0,OTHER,FR
58399899,0,Choix,FR
52702987,0,OTHER,FR
5723205,0,OTHER,FR
98945559,0,OTHER,FR
11145364,73100,AIX LES BAINS,FR
46143461,0,OTHER,FR
28408997,95160,MONTMORENCY,FR
56305642,0,OTHER,FR
69672089,0,OTHER,FR
11863063,0,OTHER,FR
92669649,0,OTHER,FR
70273165,95000,CERGY,FR
13089306,92420,VAUCRESSON,FR
27897934,78360,MONTESSON,FR
84886455,0,OTHER,FR
56266436,78670,VILLENNES SUR SEINE,FR
54935773,64160,MORLAAS,FR
70718387,92400,COURBEVOIE,FR
79393212,35680,MOULINS,FR
96472283,0,OTHER,FR
26059218,0,OTHER,FR
39651431,95380,Puiseux en France,FR
96166952,0,OTHER,FR
15188289,0,OTHER,FR
14308049,64000,PAU,FR
60081323,0,OTHER,FR
52217781,95800,CERGY,FR
58967205,22360,LANGUEUX,FR
18433953,95000,CERGY,FR
53799202,84320,ENTRAIGUES SUR LA SORGUES,FR
95776626,95000,CERGY,FR
54801082,78700,CONFLANS STE HONORINE,FR
35475246,76000,ROUEN,FR
38652590,0,OTHER,FR
30386702,0,OTHER,FR
75860888,31300,Toulouse,FR
90143320,92210,CLICHY LA GARENNE,FR
41090570,95230,SOISY SOUS MONTMORENCY,FR
34799957,78160,MARLY LE ROI,FR
63436295,64000,Pau,FR
89847276,0,OTHER,FR
53866459,78500,SARTROUVILLE,FR
61027117,64140,BILLERE,FR
24742396,64140,BILLERE,FR
2118082,0,OTHER,FR
22078095,0,OTHER,FR
13034139,0,OTHER,FR
43425944,75013,PARIS,FR
97053928,31670,LABEGE,FR
5118296,64000,PAU,FR
98693929,95310,SAINT OUEN L'AUMNE,FR
48402525,95130,FRANCONVILLE,FR
81908099,0,OTHER,FR
31979679,38330,SAINT ISMIER,FR
58868806,95000,CERGY,FR
72707947,95000,CERGY,FR
12784310,78420,CARRIERES SUR SEINE,FR
57940985,59492,HOYMILLE,FR
57912764,0,OTHER,FR
29579316,95300,PONTOISE,FR
99942662,0,OTHER,FR
24185624,95290,L'ISLE ADAM,FR
11106724,31140,SAINT ALBAN,FR
5147335,83600,FRJUS,FR
50515652,75,GARGES LES GONESSES,FR
23056351,0,OTHER,FR
46134052,95420,Magny En Vexin,FR
3232626,0,OTHER,FR
68988503,95110,SANNOIS,FR
19686411,95011,CERGY PONTOISE CEDEX,FR
19702731,95000,CERGY,FR
44783049,93110,ROSNY SOUS BOIS,FR
24584846,95000,CERGY,FR
40420329,0,OTHER,FR
21214678,78510,TRIEL SUR SEINE,FR
28177299,95540,MERY SUR OISE,FR
61729525,64000,PAU,FR
9201090,75015,PARIS,FR
58614232,94160,ST MANDE,FR
11361977,64000,PAU,FR
65199619,95220,HERBLAY,FR
50911710,31500,TOULOUSE,FR
7369730,2100,SAINT QUENTIN,FR
342051,95520,OSNY,FR
85778881,0,CERGY PONTOISE,FR
54645432,0,OTHER,FR
27509029,78130,CHAPET,FR
48259555,0,95240,FR
96593574,95220,HERBLAY,FR
88299465,0,OTHER,FR
5440203,95000,CERGY,FR
90085982,64800,BAUDREIX,FR
65276192,95630,MERIEL,FR
45906680,92190,MEUDON,FR
68583629,78360,montesson,FR
40362928,0,OTHER,FR
76922809,64000,PAU,FR
7161169,0,OTHER,FR
27975021,93500,PANTIN,FR
71106584,0,OTHER,FR
41764505,95800,CERGY,FR
32736869,0,"Martinez, Buenos Aires",AR
88208992,95800,CERGY,FR
21638775,91070,BONDOUFLE,FR
45538624,75006,PARIS,FR
19908607,75016,PARIS,FR
76579823,64000,PAU,FR
43637624,95690,LABBEVILLE,FR
41180769,75020,PARIS 20EME ARRONDISSEMENT,FR
17483038,75015,PARIS,FR
84069923,75020,PARIS,FR
77983927,93120,LA COURNEUVE,FR
8852696,75017,PARIS,FR
65282493,0,OTHER,FR
29921366,0,OTHER,FR
85721543,0,OTHER,FR
78831055,0,OTHER,FR
38615752,0,OTHER,FR
53406888,0,OTHER,FR
47109225,95000,CERGY,FR
11355816,31840,AUSSONNE,FR
51574255,29270,PLONEOUR LANVERN,FR
93318607,0,OTHER,FR
34264695,95000,CERGY PONTOISE,FR
65593090,95800,cergy,FR
88286359,31130,BALMA,FR
85145976,78700,CONFLANS SAINTE HONORINE,FR
1507655,64000,PAU,FR
47581497,95800,CERGY,FR
49189698,0,OTHER,FR
99283881,95000,NEUVILLE SUR OISE,FR
3494030,38080,L'ISLE D'ABEAU,FR
41937958,40130,CAPBRETON,FR
46823223,95000,CERGY,FR
33000751,64320,SENDETS,FR
10738243,34690,FABREGUES,FR
70820317,0,OTHER,FR
83949552,95420,MAGNY EN VEXIN,FR
43979674,0,OTHER,FR
26959650,0,OTHER,FR
72128469,0,OTHER,FR
11578952,0,OTHER,FR
26243482,95450,THEMERICOURT,FR
5446269,64320,BIZANOS,FR
53581958,0,OTHER,FR
35361568,97351,MATOURY,FR
75807525,76130,MONT SAINT AIGNAN,FR
44107247,0,OTHER,FR
84522431,95660,CHAMPAGNE SUR OISE,FR
21990517,0,OTHER,FR
87472152,62650,MANINGHEM AU MONT,FR
88278624,95014,CERGY,FR
58735423,27150,MORGNY,FR
21293628,95000,CERGY,FR
5371279,91170,VIRY CHATILLON,FR
7357595,77610,MARLES EN BRIE,FR
21023228,75017,PARIS,FR
73354968,78800,HOUILLES,FR
23146429,92270,BOIS COLOMBES,FR
93120120,95520,OSNY,FR
69098305,64000,PAU,FR
75863704,65200,VISKER,FR
47131653,0,OTHER,FR
83118726,0,OTHER,FR
64306260,10440,TORVILLIERS,FR
17070674,64000,PAU,FR
88722169,95000,CERGY,FR
79673011,0,OTHER,FR
49232044,0,LISBONNE,PT
73901039,83200,TOULON,FR
12681193,64160,SAINT JAMMES,FR
50959524,95610,ERAGNY,FR
50194703,0,OTHER,FR
79650369,0,OTHER,FR
52555494,94430,CHENNEVIERE S/MARNE,FR
64937772,64000,PAU,FR
86935822,65390,ANDREST,FR
69126132,64000,PAU,FR
78371942,95230,SOISY SOUS MONTMORENCY,FR
50115521,0,OTHER,FR
10276876,33127,Martignas sur Jalles,FR
72618128,95280,JOUY LE MOUTIER,FR
89786278,95000,CERGY PONTOISE,FR
6316920,0,OTHER,FR
70483325,78510,TRIEL SUR SEINE,FR
4655160,64110,ST FAUST,FR
10851625,8000,CHARLEVILLE MEZIEREZ,FR
62961185,78260,ACHRES,FR
20178191,33290,LE PIAN MDOC,FR
56147179,59493,VILLENEUVE D'ASCQ,FR
3858363,59130,LAMBERSART,FR
39918621,0,OTHER,FR
59813256,68100,MULHOUSE,FR
91111326,95120,ERMONT,FR
10078376,95000,CERGY,FR
36434730,0,OTHER,FR
28649625,64000,PAU,FR
14965651,0,OTHER,FR
85119280,92320,CHATILLON,FR
2814002,95800,CERGY ST CHRISTOPHE,FR
9262607,95000,Cergy,FR
88488717,0,OTHER,FR
95066771,93160,NOISY LE GRAND,FR
34717133,95000,Cergy,FR
1640886,0,OTHER,FR
40027646,0,OTHER,FR
53216396,0,OTHER,FR
45671245,0,OTHER,FR
90419759,92600,ASNIERES SUR SEINE,FR
83743219,95620,PARMAIN,FR
57473115,64000,PAU,FR
31300102,64000,PAU,FR
45973096,32300,MIRANDE,FR
12932707,92700,COLOMBES,FR
99437039,0,OTHER,FR
39581630,95230,SOISY SOUS MONTMORENCY,FR
80518863,95230,SOISY SOUS MONTMORENCY,FR
57983277,0,Province d'El Jadida,MA
46079911,93200,ST DENIS,FR
84484450,95000,CERGY PONTOISE,FR
73217852,0,OTHER,FR
92580530,95000,CERGY,FR
19591633,63830,DURTOL,FR
9045300,92300,LEVALLOIS PERRET,FR
65012365,0,OTHER,FR
22759568,95000,CERGY,FR
87394253,0,OTHER,FR
78844326,83210,SOLLIES PORT,FR
94616019,0,OTHER,FR
37674773,75017,PARIS,FR
67751773,92400,COURBEVOIE,FR
96198428,95330,DOMONT,FR
57614849,78700,CONFLANS SAINTE HONORINE,FR
73438712,95000,CERGY,FR
84832653,0,OTHER,FR
11917761,64000,PAU,FR
12645774,94120,FONTENAY SOUS BOIS,FR
43002674,0,CASABLANCA,MA
51988164,75002,PARIS,FR
60903084,75013,PARIS,FR
88398379,95240,CORMEILLES EN PARISIS,FR
68324739,94380,BONNEUIL SUR MARNE,FR
94261286,78955,CARRIERES SOUS POISSY,FR
66151286,95000,CERGY,FR
69079885,95014,Cergy,FR
3295402,95300,PONTOISE,FR
79500250,0,OTHER,FR
40332119,95110,SANNOIS,FR
49094603,0,OTHER,FR
56158286,0,KORBA,TN
20919180,92400,COURBEVOIE,FR
1867476,92400,COURBEVOIE,FR
7546181,59000,LILLE,FR
4710912,92400,COURBEVOIE,FR
11859301,75012,PARIS 12EME ARRONDISSEMENT,FR
74274972,0,OTHER,FR
11248284,78980,ST ILLIERS LA VILLE,FR
82461024,78980,SAINT ILLIERS LA VILLE,FR
13561459,75015,PARIS,FR
96256904,94160,SAINT MANDE,FR
77702418,95440,ECOUEN,FR
20968169,38000,GRENOBLE,FR
41869673,3150,Rongres,FR
48034607,91240,ST MICHEL SUR ORGE,FR
57181932,0,OTHER,FR
42305768,0,OTHER,FR
43217862,92120,MONTROUGE,FR
58618868,92600,ASNIERES SUR SEINE,FR
55935380,21160,COUCHEY,FR
51425203,75015,PARIS,FR
484713,64000,PAU,FR
68917242,0,OTHER,FR
26308016,78600,MAISONS LAFFITTE,FR
40341197,77100,MEAUX,FR
50635736,78670,VILLENNES SUR SEINE,FR
42297736,85000,LA ROCHE SUR YON,FR
95875931,95000,CERGY,FR
99091882,64000,PAU,FR
49377418,34500,BEZIERS,FR
14106969,78740,VAUX SUR SEINE,FR
78917852,95120,ERMONT,FR
8313433,0,OTHER,FR
80711801,33200,BORDEAUX,FR
2162200,33200,BORDEAUX,FR
42385685,95000,CERGY,FR
79611073,0,OTHER,FR
70473400,0,OTHER,FR
68863132,64000,PAU,FR
55899736,95350,SAINT BRICE SOUS FORET,FR
98394111,91280,SAINT PIERRE DU PERRAY,FR
8174665,95520,OSNY,FR
90348191,9270,MAZERES,FR
63970842,78140,VLIZY VILLACOUBLAY,FR
93857836,0,OTHER,FR
8937691,93190,LIVRY GARGAN,FR
45580310,75013,PARIS,FR
10630507,0,OTHER,FR
37479149,91310,MONTLHERY,FR
24770154,78980,MONDREVILLE,FR
25015264,62134,BOYAVAL,FR
54720604,63170,PERIGNAT LES SARLIEVE,FR
79984963,0,FS,MA
9249361,95800,CERGY,FR
75402618,92220,BAGNEUX,FR
96499482,0,OTHER,FR
71554915,75017,PARIS,FR
44165212,92400,COURBEVOIE,FR
3422112,97640,SADA (MAYOTTE),FR
3802794,95800,COURDIMANCHE,FR
61236718,93700,DRANCY,FR
88381939,95000,Cergy,FR
90774456,91300,MASSY,FR
94273260,95000,NEUVILLE SUR OISE,FR
98419102,95000,NEUVILLE SUR OISE,FR
20088103,27140,GISORS,FR
579242,93000,BOBIGNY,FR
12343074,95220,HERBLAY,FR
